frame, time,Joint1: JointAccl (degree/s^2),Joint1: JointVel (degree/s),Joint1: JointValue (degree),Joint2: JointAccl (degree/s^2),Joint2: JointValue (degree),Joint2: JointVel (degree/s),
1,0,0,0,0,0,90,0,
2,0.01,71.0144045526158,0.355188882911119,0.00118411876828567,0,90,0,
3,0.02,141.748547693858,1.41935376339398,0.00946734201898718,0,90,0,
4,0.03,211.923274076104,3.18829486883603,0.0319207573124031,0,90,0,
5,0.04,281.261636114106,5.65503099684641,0.0755595289345792,0,90,0,
6,0.05,349.489986970584,8.80982706687236,0.147315212248808,0,90,0,
7,0.06,416.339060515277,12.6402325401147,0.254008398013318,0,90,0,
8,0.07,481.54503399534,17.1311305561165,0.402321794625602,0,90,0,
9,0.08,544.850569223222,22.2647975921046,0.598773854525401,0,90,0,
10,0.09,606.005828172929,28.0209734096373,0.84969304884092,0,90,0,
11,0.1,664.769458976564,34.3769410125095,1.1611928918045,0,90,0,
12,0.11,720.909548429897,41.3076163003579,1.53914781350492,0,90,0,
13,0.12,774.20453724782,48.7856470641459,1.98916997619562,0,90,0,
14,0.13,824.444094457635,56.7815209328361,2.51658712565428,0,90,0,
15,0.14,871.429947479305,65.2636818452359,3.12642156500416,0,90,0,
16,0.15,914.976664616747,74.1986545873548,3.82337033397822,0,90,0,
17,0.16,954.912386872023,83.5511769037806,4.61178667184917,0,90,0,
18,0.17,991.079506194287,93.2843386616913,5.49566283718281,0,90,0,
19,0.18,1023.33528748676,103.359727518287,6.47861435221739,0,90,0,
20,0.19,1051.55243191694,113.737580516758,7.56386573404913,0,90,0,
21,0.2,1075.61957930696,124.376941012509,8.75423776893635,0,90,0,
22,0.21,1095.4417476213,135.235820310326,10.0521363799448,0,90,0,
23,0.22,1110.9407078175,146.27136337457,11.4595431318686,0,90,0,
24,0.23,1122.05529258048,157.440017958425,12.9780074108991,0,90,0,
25,0.24,1128.74163772194,168.697706484724,14.6086403099054,0,90,0,
26,0.25,1130.97335529233,180,16.3521102434588,0,90,0,
27,0.26,1128.74163772194,191.302293515276,18.2086403099054,0,90,0,
28,0.27,1122.05529258048,202.559982041575,20.1780074108991,0,90,0,
29,0.28,1110.9407078175,213.72863662543,22.2595431318686,0,90,0,
30,0.29,1095.4417476213,224.764179689674,24.4521363799448,0,90,0,
31,0.3,1075.61957930696,235.623058987491,26.7542377689363,0,90,0,
32,0.31,1051.55243191694,246.262419483242,29.1638657340491,0,90,0,
33,0.32,1023.33528748676,256.640272481713,31.6786143522174,0,90,0,
34,0.33,991.079506194287,266.715661338309,34.2956628371828,0,90,0,
35,0.34,954.912386872022,276.448823096219,37.0117866718492,0,90,0,
36,0.35,914.976664616747,285.801345412645,39.8233703339782,0,90,0,
37,0.36,871.429947479305,294.736318154764,42.7264215650042,0,90,0,
38,0.37,824.444094457635,303.218479067164,45.7165871256543,0,90,0,
39,0.38,774.20453724782,311.214352935854,48.7891699761956,0,90,0,
40,0.39,720.909548429897,318.692383699642,51.9391478135049,0,90,0,
41,0.4,664.769458976565,325.623058987491,55.1611928918045,0,90,0,
42,0.41,606.005828172929,331.979026590363,58.4496930488409,0,90,0,
43,0.42,544.850569223223,337.735202407895,61.7987738545254,0,90,0,
44,0.43,481.54503399534,342.868869443884,65.2023217946256,0,90,0,
45,0.44,416.339060515277,347.359767459885,68.6540083980133,0,90,0,
46,0.45,349.489986970584,351.190172933128,72.1473152122488,0,90,0,
47,0.46,281.261636114106,354.344969003154,75.6755595289346,0,90,0,
48,0.47,211.923274076104,356.811705131164,79.2319207573124,0,90,0,
49,0.48,141.748547693858,358.580646236606,82.809467342019,0,90,0,
50,0.49,71.0144045526161,359.644811117089,86.4011841187683,0,90,0,
51,0.5,1.38499715689479E-13,360,90,0,90,0,
52,0.51,-71.0144045526158,359.644811117089,93.5988158812317,0,90,0,
53,0.52,-141.748547693858,358.580646236606,97.190532657981,0,90,0,
54,0.53,-211.923274076104,356.811705131164,100.768079242688,0,90,0,
55,0.54,-281.261636114106,354.344969003154,104.324440471065,0,90,0,
56,0.55,-349.489986970584,351.190172933128,107.852684787751,0,90,0,
57,0.56,-416.339060515277,347.359767459885,111.345991601987,0,90,0,
58,0.57,-481.54503399534,342.868869443884,114.797678205374,0,90,0,
59,0.58,-544.850569223222,337.735202407895,118.201226145475,0,90,0,
60,0.59,-606.005828172929,331.979026590363,121.550306951159,0,90,0,
61,0.6,-664.769458976564,325.623058987491,124.838807108196,0,90,0,
62,0.61,-720.909548429897,318.692383699642,128.060852186495,0,90,0,
63,0.62,-774.20453724782,311.214352935854,131.210830023804,0,90,0,
64,0.63,-824.444094457635,303.218479067164,134.283412874346,0,90,0,
65,0.64,-871.429947479305,294.736318154764,137.273578434996,0,90,0,
66,0.65,-914.976664616747,285.801345412645,140.176629666022,0,90,0,
67,0.66,-954.912386872023,276.448823096219,142.988213328151,0,90,0,
68,0.67,-991.079506194287,266.715661338309,145.704337162817,0,90,0,
69,0.68,-1023.33528748676,256.640272481713,148.321385647783,0,90,0,
70,0.69,-1051.55243191694,246.262419483242,150.836134265951,0,90,0,
71,0.7,-1075.61957930696,235.623058987491,153.245762231064,0,90,0,
72,0.71,-1095.4417476213,224.764179689674,155.547863620055,0,90,0,
73,0.72,-1110.9407078175,213.72863662543,157.740456868131,0,90,0,
74,0.73,-1122.05529258048,202.559982041575,159.821992589101,0,90,0,
75,0.74,-1128.74163772194,191.302293515276,161.791359690095,0,90,0,
76,0.75,-1130.97335529233,180,163.647889756541,0,90,0,
77,0.76,-1128.74163772194,168.697706484724,165.391359690095,0,90,0,
78,0.77,-1122.05529258048,157.440017958425,167.021992589101,0,90,0,
79,0.78,-1110.9407078175,146.27136337457,168.540456868131,0,90,0,
80,0.79,-1095.4417476213,135.235820310326,169.947863620055,0,90,0,
81,0.8,-1075.61957930696,124.37694101251,171.245762231064,0,90,0,
82,0.81,-1051.55243191694,113.737580516758,172.436134265951,0,90,0,
83,0.82,-1023.33528748676,103.359727518287,173.521385647783,0,90,0,
84,0.83,-991.079506194286,93.2843386616912,174.504337162817,0,90,0,
85,0.84,-954.912386872023,83.5511769037807,175.388213328151,0,90,0,
86,0.85,-914.976664616747,74.1986545873549,176.176629666022,0,90,0,
87,0.86,-871.429947479305,65.2636818452359,176.873578434996,0,90,0,
88,0.87,-824.444094457635,56.7815209328361,177.483412874346,0,90,0,
89,0.88,-774.20453724782,48.785647064146,178.010830023804,0,90,0,
90,0.89,-720.909548429897,41.3076163003579,178.460852186495,0,90,0,
91,0.9,-664.769458976565,34.3769410125095,178.838807108196,0,90,0,
92,0.91,-606.005828172929,28.0209734096372,179.150306951159,0,90,0,
93,0.92,-544.850569223222,22.2647975921046,179.401226145475,0,90,0,
94,0.93,-481.545033995339,17.1311305561165,179.597678205374,0,90,0,
95,0.94,-416.339060515277,12.6402325401147,179.745991601987,0,90,0,
96,0.95,-349.489986970584,8.80982706687236,179.852684787751,0,90,0,
97,0.96,-281.261636114106,5.65503099684643,179.924440471065,0,90,0,
98,0.97,-211.923274076104,3.18829486883603,179.968079242688,0,90,0,
99,0.98,-141.748547693858,1.419353763394,179.990532657981,0,90,0,
100,0.99,-71.0144045526157,0.355188882911119,179.998815881232,0,90,0,
101,1,-2.76999431378959E-13,0,180,0,90,0,
